sport,season,gameId,label,excitement,uncertainty,drama,finish,rankPercentile,note
NFL,2016,400927752,"Super Bowl LI: Patriots vs Falcons",9.3,8.26,7.08,6.88,,"Season scores not cached locally"
NFL,2021,401326594,"Bills at Chiefs (AFC Divisional)",5.6,5.28,6.64,1.70,,"Season scores not cached locally"
NFL,2022,401437833,"Vikings at Bills",9.8,9.47,8.62,5.71,,"Season scores not cached locally"
NFL,2022,401437904,"Colts at Vikings",9.8,7.95,7.99,7.70,,"Season scores not cached locally"
NFL,2018,401030972,"Chiefs at Rams (MNF)",9.8,10.00,9.91,5.28,,"Season scores not cached locally"
NFL,2022,401438030,"Super Bowl LVII: Chiefs vs Eagles",9.4,9.93,8.14,5.75,,"Season scores not cached locally"
NFL,2018,401038850,"Patriots at Chiefs (AFC Championship)",9.9,10.00,9.66,7.14,,"Season scores not cached locally"
CFB,2016,400876570,"CFP National Championship: Clemson vs Alabama",9.9,9.82,8.24,10.00,,"Season scores not cached locally"
CFB,2017,400953412,"Rose Bowl (CFP Semifinal): Georgia vs Oklahoma",9.8,10.00,8.82,9.02,,"Season scores not cached locally"
CFB,2022,401442015,"Peach Bowl (CFP Semifinal): Ohio State vs Georgia",9.9,10.00,7.80,9.99,,"Season scores not cached locally"
CFB,2022,401442016,"Fiesta Bowl (CFP Semifinal): TCU vs Michigan",9.1,6.82,6.53,5.78,,"Season scores not cached locally"
CFB,2021,401331242,"Rose Bowl: Ohio State vs Utah",9.5,9.64,7.94,6.84,,"Season scores not cached locally"
CFB,2018,401110192,"LSU vs Texas A&M (7OT)",,,,,,"ESPN API error: 404"
CFB,2016,400876090,"Rose Bowl: USC vs Penn State",9.8,9.49,8.02,9.82,,"Season scores not cached locally"
NBA,2016,400878160,"NBA Finals Game 7: Cavaliers at Warriors",,,,,,"No probability data (analysis returned null)"
NBA,2019,401129105,"East Semis Game 7: 76ers at Raptors",9,9.54,7.28,5.43,,"Season scores not cached locally"
NBA,2023,401547676,"East Finals Game 6: Celtics at Heat",6.4,5.62,7.40,4.34,,"Season scores not cached locally"
NBA,2021,401344139,"NBA Finals Game 5: Bucks at Suns",8,10.00,8.11,3.58,,"Season scores not cached locally"
NBA,2020,401248437,"NBA Finals Game 5: Heat at Lakers",8.8,9.67,9.10,5.14,,"Season scores not cached locally"
NBA,2019,401129362,"West Semis Game 3: Nuggets at Trail Blazers",7.9,8.18,8.36,4.56,,"Season scores not cached locally"
