sport,season,gameId,label,expectedTier,actualTier,status,excitement,tension,drama,finish,rankPercentile,note
NFL,2016,400927752,"Super Bowl LI: Patriots vs Falcons",must-watch,must-watch,PASS,8.8,3.58,9.77,6.47,,"Season scores not cached locally"
NFL,2021,401326594,"Bills at Chiefs (AFC Divisional)",must-watch,recommended,FAIL,6,5.22,5.12,4.94,,"Season scores not cached locally"
NFL,2022,401437833,"Vikings at Bills",must-watch,must-watch,PASS,9.6,4.03,10.00,9.77,,"Season scores not cached locally"
NFL,2022,401437904,"Colts at Vikings",must-watch,must-watch,PASS,9.6,4.00,10.00,10.00,,"Season scores not cached locally"
NFL,2018,401030972,"Chiefs at Rams (MNF)",must-watch,must-watch,PASS,9.1,5.07,10.00,6.76,,"Season scores not cached locally"
NFL,2022,401438030,"Super Bowl LVII: Chiefs vs Eagles",must-watch,must-watch,PASS,8.5,7.50,8.15,7.06,,"Season scores not cached locally"
NFL,2018,401038850,"Patriots at Chiefs (AFC Championship)",must-watch,must-watch,PASS,9.2,6.54,9.97,7.37,,"Season scores not cached locally"
NFL,2024,401671789,"Week 1 (TNF): Ravens at Chiefs",recommended,recommended,PASS,6.5,5.00,5.74,4.73,,"Season scores not cached locally"
NFL,2024,401671792,"Week 1 (MNF): Rams at Lions",must-watch,must-watch,PASS,8.3,6.17,9.37,6.76,,"Season scores not cached locally"
NFL,2024,401671626,"Week 5: Ravens at Bengals",must-watch,must-watch,PASS,9.7,7.14,10.00,10.00,,"Season scores not cached locally"
NFL,2024,401671622,"Week 4: Broncos at Jets",must-watch,must-watch,PASS,9.3,7.16,9.06,10.00,,"Season scores not cached locally"
NFL,2024,401671668,"Week 2: Steelers at Broncos",skip,skip,PASS,5.1,1.81,3.48,5.00,,"Season scores not cached locally"
NFL,2024,401671702,"Week 2: Seahawks at Patriots",must-watch,must-watch,PASS,9.4,9.44,10.00,7.37,,"Season scores not cached locally"
NFL,2024,401671869,"Week 11: Packers at Bears",must-watch,must-watch,PASS,9.2,6.96,9.40,10.00,,"Season scores not cached locally"
NFL,2024,401671492,"Thanksgiving: Bears at Lions",skip,recommended,FAIL,6.5,4.00,4.49,5.92,,"Season scores not cached locally"
NFL,2024,401671784,"Week 5 (MNF): Cowboys at Steelers",must-watch,must-watch,PASS,9.4,9.55,9.41,10.00,,"Season scores not cached locally"
NFL,2024,401671790,"Week 16 (MNF): Buccaneers at Cowboys",recommended,recommended,PASS,7.7,5.91,7.10,5.22,,"Season scores not cached locally"
NFL,2024,401671883,"Wild Card: Commanders at Buccaneers",must-watch,must-watch,PASS,8.9,9.63,8.45,6.95,,"Season scores not cached locally"
NFL,2024,401671735,"Week 6: Buccaneers at Saints",skip,skip,PASS,5.4,3.35,4.55,5.04,,"Season scores not cached locally"
CFB,2016,400876570,"CFP National Championship: Clemson vs Alabama",must-watch,must-watch,PASS,8.9,3.41,8.68,9.77,,"Season scores not cached locally"
CFB,2017,400953412,"Rose Bowl (CFP Semifinal): Georgia vs Oklahoma",must-watch,must-watch,PASS,9.3,5.20,10.00,10.00,,"Season scores not cached locally"
CFB,2022,401442015,"Peach Bowl (CFP Semifinal): Ohio State vs Georgia",must-watch,must-watch,PASS,9.4,6.07,10.00,9.02,,"Season scores not cached locally"
CFB,2022,401442016,"Fiesta Bowl (CFP Semifinal): TCU vs Michigan",must-watch,recommended,FAIL,6.2,2.65,5.54,5.08,,"Season scores not cached locally"
CFB,2021,401331242,"Rose Bowl: Ohio State vs Utah",must-watch,must-watch,PASS,7.9,8.88,7.69,5.73,,"Season scores not cached locally"
CFB,2018,401110192,"LSU vs Texas A&M (7OT)",must-watch,,,,,,,,"ESPN API error: 404"
CFB,2016,400876090,"Rose Bowl: USC vs Penn State",must-watch,must-watch,PASS,8.9,8.15,8.03,10.00,,"Season scores not cached locally"
CFB,2024,401677179,"CFP First Round: Indiana at Notre Dame",skip,skip,PASS,3.4,1.50,2.08,2.16,,"Season scores not cached locally"
CFB,2024,401677176,"CFP First Round: Clemson at Texas",skip,skip,PASS,3.3,0.64,2.32,3.13,,"Season scores not cached locally"
CFB,2024,401677182,"CFP Quarterfinal: Texas at Arizona State",must-watch,must-watch,PASS,9.1,2.38,9.85,10.00,,"Season scores not cached locally"
CFB,2024,401677184,"CFP Quarterfinal: Notre Dame at Georgia",recommended,recommended,PASS,6.2,5.45,5.33,4.95,,"Season scores not cached locally"
CFB,2024,401628566,"Rivalry: Michigan at Ohio State",must-watch,must-watch,PASS,8.3,4.00,7.29,6.40,,"Season scores not cached locally"
CFB,2024,401645383,"Army-Navy: Navy at Army",recommended,recommended,PASS,6,6.20,4.33,4.93,,"Season scores not cached locally"
CFB,2024,401628464,"Rivalry: Iowa State at Iowa",must-watch,must-watch,PASS,9.2,4.00,7.93,10.00,,"Season scores not cached locally"
CFB,2024,401636922,"Rivalry: BYU at Utah",must-watch,must-watch,PASS,9.6,6.37,10.00,10.00,,"Season scores not cached locally"
CFB,2024,401628354,"Georgia at Kentucky",recommended,recommended,PASS,6.8,4.00,5.19,5.85,,"Season scores not cached locally"
CFB,2024,401628374,"Georgia at Alabama",skip,skip,PASS,5.7,2.50,4.86,5.83,,"Season scores not cached locally"
CFB,2024,401644683,"Miami (OH) at Northwestern",recommended,skip,FAIL,5.3,5.31,4.37,3.69,,"Season scores not cached locally"
CFB,2024,401628390,"Rivalry: Texas at Oklahoma",skip,skip,PASS,3.4751285333238977,0.10,1.36,4.89,,"Season scores not cached locally"
NBA,2016,400878160,"NBA Finals Game 7: Cavaliers at Warriors",must-watch,,,,,,,,"No probability data (analysis returned null)"
NBA,2019,401129105,"East Semis Game 7: 76ers at Raptors",must-watch,must-watch,PASS,8.7,5.05,10.00,6.92,,"Season scores not cached locally"
NBA,2023,401547676,"East Finals Game 6: Celtics at Heat",must-watch,must-watch,PASS,9.5,4.00,10.00,10.00,,"Season scores not cached locally"
NBA,2021,401344139,"NBA Finals Game 5: Bucks at Suns",must-watch,must-watch,PASS,8.6,4.71,9.38,5.97,,"Season scores not cached locally"
NBA,2020,401248437,"NBA Finals Game 5: Heat at Lakers",must-watch,must-watch,PASS,9,8.09,10.00,6.95,,"Season scores not cached locally"
NBA,2019,401129362,"West Semis Game 3: Nuggets at Trail Blazers",must-watch,must-watch,PASS,9.2,7.10,10.00,6.62,,"Season scores not cached locally"
NBA,2024,401704974,"Christmas Day: Lakers at Warriors",must-watch,must-watch,PASS,9,4.84,10.00,6.65,,"Season scores not cached locally"
NBA,2024,401704973,"Christmas Day: 76ers at Celtics",must-watch,must-watch,PASS,8.9,7.12,9.24,5.92,,"Season scores not cached locally"
NBA,2024,401704637,"Suns at Clippers",must-watch,must-watch,PASS,9.6,6.94,10.00,7.37,,"Season scores not cached locally"
NBA,2024,401704685,"Celtics at Pacers",must-watch,must-watch,PASS,8.8,5.21,9.82,6.94,,"Season scores not cached locally"
NBA,2024,401704693,"Trail Blazers at Clippers",must-watch,must-watch,PASS,9.4,6.08,10.00,9.31,,"Season scores not cached locally"
NBA,2024,401704711,"Cavaliers at Bucks",must-watch,must-watch,PASS,9,7.79,10.00,6.95,,"Season scores not cached locally"
NBA,2024,401704977,"Heat at Magic",recommended,must-watch,FAIL,9.3,4.00,10.00,10.00,,"Season scores not cached locally"
NBA,2024,401766459,"Play-In: Grizzlies at Warriors",recommended,recommended,PASS,8.1,4.48,9.89,5.65,,"Season scores not cached locally"
NBA,2024,401766462,"Play-In: Heat at Hawks",must-watch,must-watch,PASS,9.1,5.13,10.00,8.62,,"Season scores not cached locally"
NBA,2024,401704905,"Jazz at Trail Blazers",skip,skip,PASS,4.888611715604109,1.37,3.81,4.89,,"Season scores not cached locally"
NBA,2024,401704933,"Knicks at Timberwolves",skip,skip,PASS,4.670650580617819,1.29,3.47,4.89,,"Season scores not cached locally"
NFL,2025,401772880,"NFL 2025 Week 11: Bears at Vikings",recommended,recommended,PASS,8.1,5.76,7.47,10.00,29.2,""
NFL,2025,401772837,"NFL 2025 Week 2: Eagles at Chiefs",recommended,recommended,PASS,8.1,8.08,6.42,5.99,29.2,""
NFL,2025,401772728,"NFL 2025 Week 2: Patriots at Dolphins",recommended,recommended,PASS,8.2,7.26,7.80,7.35,27.5,""
NFL,2025,401772832,"NFL 2025 Week 1: Titans at Broncos",recommended,recommended,PASS,6.6,8.50,6.68,3.88,47.5,""
NFL,2025,401772860,"NFL 2025 Week 7: Panthers at Jets",recommended,recommended,PASS,6.6,5.22,5.22,5.61,47.5,""
NFL,2025,401772716,"NFL 2025 Week 4: Bengals at Broncos",skip,skip,PASS,3,1.26,1.76,2.40,92.6,""
NFL,2025,401772896,"NFL 2025 Week 13: Vikings at Seahawks",skip,skip,PASS,3,1.34,1.93,2.09,92.6,""
CFB,2025,401752718,"CFB 2025 Week 5: Alabama at Georgia",must-watch,must-watch,PASS,7.8,6.95,6.08,5.87,20,""
CFB,2025,401752671,"CFB 2025 Week 1: LSU at Clemson",must-watch,must-watch,PASS,7.8,7.12,7.68,5.38,20,""
CFB,2025,401756957,"CFB 2025 Week 13: TCU at Houston",must-watch,must-watch,PASS,8,5.52,7.11,6.45,17.5,""
CFB,2025,401752852,"CFB 2025 Week 5: Ohio State at Washington",skip,skip,PASS,5.5,4.54,4.33,4.90,38.9,""
CFB,2025,401752686,"CFB 2025 Week 2: Ole Miss at Kentucky",skip,skip,PASS,5.6,2.50,4.84,5.24,38,""
CFB,2025,401752825,"CFB 2025 Week 2: Illinois at Duke",skip,skip,PASS,5.3,3.58,4.21,4.96,41.4,""
CFB,2025,401754566,"CFB 2025 Week 8: Georgia Tech at Duke",recommended,must-watch,FAIL,7.7,7.87,7.32,5.05,20.8,""
NBA,2025,401809811,"NBA 2025 Cavaliers at Hawks",recommended,recommended,PASS,8.2,6.32,10.00,6.09,38.7,""
NBA,2025,401810282,"NBA 2025 76ers at Bulls",recommended,recommended,PASS,8.2,7.20,10.00,5.91,38.7,""
NBA,2025,401810258,"NBA 2025 Pacers at Celtics",recommended,recommended,PASS,8.3,4.84,10.00,5.72,36.8,""
